Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Lag Period		START	77.534	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Courtship		START	741.142	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Lag Period		STOP	743.292	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		First Touch		POINT	1036.292	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Mount		START	1136.600	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Attempted Right Copulation		START	1694.530	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Attempted Right Copulation		STOP	1695.050	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Courtship		STOP	1695.301	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Attack		POINT	1695.530	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
Set #02 Focals J190 x J42	2022-02-17 10:04:38		4915.331	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 1.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	4.320;5020.320	50.000;50.000		Flee		POINT	1695.530	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focals J190 x J42/Camera 1 - 2.MP4	NA	NA	
