Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Lag Period		START	43.483	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Courtship		START	3069.340	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	3069.340	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	3379.030	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Mount		START	3662.214	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Mount		STOP	4171.137	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	4188.218	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Courtship		START	4285.449	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Mount		START	4431.229	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
Set #09 Focals J110 x H67	2022-02-09 14:33:34		14424.667	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2801.760	100.000;100.000;100.000;100.000;100.000		Copulation right		START	4690.453	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #9 J110 x H67/Focals J110 x H67/C0002.MP4	NA	NA	
