Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Lag Period		START	24.481	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Courtship		START	7872.907	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	7878.892	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	8010.863	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Mount		START	8721.884	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8799.611	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Mount		START	8886.104	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Mount		STOP	9490.922	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	9492.672	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4	NA	NA	
Set #10 Focals G26 x J203	2022-02-10 13:50:43		14389.274	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2738.400	100.000;100.000;100.000;100.000;100.000		Courtship		START	9539.780	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #10 G26 x J203/Focals G26 x J203/C0004.MP4	NA	NA	
