Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Lag Period		START	30.669	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Courtship		START	5570.180	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	5572.067	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	5611.432	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Mount		START	6038.632	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Mount		STOP	6342.365	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Mount		START	6517.380	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Copulation right		START	6934.910	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Attack		POINT	6935.170	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
Set #13 Focals H62 x J132	2022-02-20 15:29:59		14504.713	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2914.080	100.000;100.000;100.000;100.000;100.000		Copulation right		STOP	6935.170	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #13 H62 x J132/Focals H62 x J132/C0003.MP4	NA	NA	
