Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Lag Period		START	34.269	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Courtship		START	3112.807	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	3115.732	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Flee		POINT	3356.012	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	3356.730	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Courtship		START	3614.567	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	4720.897	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Flee		POINT	4747.955	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	4750.157	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
Set #02 Focal J190 x Non-focal J212	2022-02-16 12:40:56		14409.558	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2773.440	100.000;100.000;100.000;100.000;100.000		Courtship		START	4869.467	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #2 J190 x J42/Focal J190 x Non-focal J212/C0002.MP4	NA	NA	
