Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Lag Period		START	30.960	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Courtship		START	709.960	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	712.230	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	793.577	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	1115.415	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	1307.502	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	1881.200	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	1974.517	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	2529.367	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4	NA	NA	
Set #06 Focal H45 x Non-focal H67	2022-01-10 10:57:02		14464.987	Media file(s)	player #1:D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0001.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0003.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0004.MP4;D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2847.360	100.000;100.000;100.000;100.000;100.000		Attack		POINT	3123.487	D:/Set #6 H45 x H65/Focal H45 x Non-focal H67/C0002.MP4	NA	NA	
