Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Lag Period		START	26.017	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Courtship		START	1966.807	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	1966.807	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	3477.657	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Mount		START	3860.627	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Mount		STOP	3915.390	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	4119.105	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Courtship		START	4146.505	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Attack		POINT	4195.342	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
Set #08 Focal J183 x Non-focal G35	2022-02-03 13:14:03		14436.646	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0005.MP4	2922.240;2921.280;2921.280;2921.280;2783.040	100.000;100.000;100.000;100.000;100.000		Flee		POINT	4195.342	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focal J183 x Non-focal G35/C0002.MP4	NA	NA	
