Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Lag Period		START	29.451	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Courtship		START	6195.612	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	6198.777	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	8986.875	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Mount		START	9790.475	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	9831.502	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Mount		STOP	9831.502	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Flee		POINT	9832.242	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Courtship		START	9897.870	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
Set #11 Focal H30 x Non-focal G38	2022-02-14 09:55:11		14504.963	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2872.800	100.000;100.000;100.000;100.000;100.000		Mount		START	10182.487	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focal H30 x Non-focal G38/C0004.MP4	NA	NA	
