Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Lag Period		START	27.424	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		START	5818.207	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	5821.262	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		STOP	6515.162	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		START	10273.795	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		First Touch		POINT	10312.780	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Mount		START	11715.667	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Mount		STOP	14605.375	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		STOP	14606.002	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4	NA	NA	
Set #14 Focal G30 x Non-focal H52	2022-02-24 12:41:40		14583.396	Media file(s)	player #1:F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0001.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0002.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0003.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0004.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0005.MP4;F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2921.280;25.440	100.000;100.000;100.000;100.000;100.000;100.000		Complete		POINT	14610.820	F:/Set #14 G30 x J210/Focal G30 x Non-focal H52/C0006.MP4	NA	NA	
