time	Abdomen Tapping	Approach	Female Attack	Freezing	Grooming	Leg Showcase	Mounted	Orientation	Pedipalp Insertion	Pedipalp Showcase	Random Locomotion	Retreat	Vibration interaction
2992.38	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.39	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.4	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.41	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.42	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.43	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.44	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.45	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.46	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.47	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.48	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.49	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.5	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.51	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.52	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.53	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.54	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.55	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.56	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.57	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.58	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.59	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.6	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.61	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.62	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.63	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.64	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.65	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.66	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.67	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.68	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.69	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.7	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.71	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.72	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.73	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.74	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.75	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.76	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.77	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.78	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.79	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.8	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.81	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.82	0	0	0	0	0	0	0	1	0	0	0	0	0
2992.83	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.84	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.85	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.86	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.87	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.88	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.89	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.9	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.91	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.92	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.93	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.94	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.95	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.96	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.97	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.98	0	0	0	0	0	1	0	1	0	0	0	0	0
2992.99	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.0	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.01	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.02	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.03	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.04	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.05	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.06	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.07	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.08	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.09	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.1	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.11	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.12	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.13	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.14	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.15	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.16	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.17	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.18	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.19	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.2	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.21	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.22	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.23	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.24	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.25	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.26	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.27	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.28	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.29	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.3	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.31	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.32	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.33	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.34	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.35	0	0	0	0	0	1	0	1	0	0	0	0	0
2993.36	0	0	0	0	0	1	0	1	0	0	0	0	0
