time	Abdomen Tapping	Approach	Female Attack	Freezing	Grooming	Leg Showcase	Mounted	Orientation	Pedipalp Insertion	Pedipalp Showcase	Random Locomotion	Retreat	Vibration interaction
2761.07	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.08	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.09	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.1	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.11	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.12	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.13	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.14	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.15	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.16	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.17	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.18	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.19	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.2	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.21	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.22	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.23	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.24	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.25	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.26	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.27	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.28	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.29	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.3	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.31	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.32	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.33	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.34	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.35	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.36	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.37	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.38	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.39	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.4	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.41	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.42	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.43	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.44	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.45	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.46	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.47	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.48	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.49	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.5	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.51	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.52	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.53	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.54	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.55	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.56	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.57	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.58	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.59	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.6	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.61	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.62	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.63	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.64	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.65	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.66	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.67	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.68	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.69	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.7	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.71	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.72	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.73	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.74	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.75	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.76	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.77	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.78	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.79	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.8	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.81	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.82	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.83	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.84	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.85	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.86	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.87	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.88	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.89	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.9	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.91	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.92	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.93	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.94	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.95	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.96	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.97	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.98	0	0	0	0	0	0	0	1	0	0	0	0	0
2761.99	0	0	0	0	0	0	0	1	0	0	0	0	0
2762.0	0	0	0	0	0	0	0	1	0	0	0	0	0
2762.01	0	0	0	0	0	0	0	1	0	0	0	0	0
2762.02	0	0	0	0	0	0	0	1	0	0	0	0	0
2762.03	0	0	0	0	0	0	0	1	0	0	0	0	0
2762.04	0	0	0	0	0	0	0	1	0	0	0	0	0
