time	Abdomen Tapping	Approach	Female Attack	Freezing	Grooming	Leg Showcase	Mounted	Orientation	Pedipalp Insertion	Pedipalp Showcase	Random Locomotion	Retreat	Vibration interaction
661.34	1	0	0	0	0	0	0	0	0	0	0	0	0
661.35	0	0	0	0	0	0	0	0	0	0	0	0	0
661.36	0	0	0	0	0	0	0	0	0	0	0	0	0
661.37	0	0	0	0	0	0	0	0	0	0	0	0	0
661.38	0	0	0	0	0	0	0	0	0	0	0	0	0
661.39	0	0	0	0	0	0	0	0	0	0	0	0	0
661.4	0	0	0	0	0	0	0	0	0	0	0	0	0
661.41	0	0	0	0	0	0	0	0	0	0	0	0	0
661.42	0	0	0	0	0	0	0	0	0	0	0	0	0
661.43	0	0	0	0	0	0	0	0	0	0	0	0	0
661.44	0	0	0	0	0	0	0	0	0	0	0	0	0
661.45	0	0	0	0	0	0	0	0	0	0	0	0	0
661.46	0	0	0	0	0	0	0	0	0	0	0	0	0
661.47	0	0	0	0	0	0	0	0	0	0	0	0	0
661.48	0	0	0	0	0	0	0	0	0	0	0	0	0
661.49	0	0	0	0	0	0	0	0	0	0	0	0	0
661.5	0	0	0	0	0	0	0	0	0	0	0	0	0
661.51	0	0	0	0	0	0	0	0	0	0	0	0	0
661.52	0	0	0	0	0	0	0	0	0	0	0	0	0
661.53	0	0	0	0	0	0	0	0	0	0	0	0	0
661.54	0	0	0	0	0	0	0	0	0	0	0	0	0
661.55	0	0	0	0	0	0	0	0	0	0	0	0	0
661.56	0	0	0	0	0	0	0	0	0	0	0	0	0
661.57	0	0	0	0	0	0	0	0	0	0	0	0	0
661.58	0	0	0	0	0	0	0	0	0	0	0	0	0
661.59	0	0	0	0	0	0	0	0	0	0	0	0	0
661.6	0	0	0	0	0	0	0	0	0	0	0	0	0
661.61	0	0	0	0	0	0	0	0	0	0	0	0	0
661.62	0	0	0	0	0	0	0	0	0	0	0	0	0
661.63	0	0	0	0	0	0	0	0	0	0	0	0	0
661.64	0	0	0	0	0	0	0	0	0	0	0	0	0
661.65	0	0	0	0	0	0	0	0	0	0	0	0	0
661.66	0	0	0	0	0	0	0	0	0	0	0	0	0
661.67	0	0	0	0	0	0	0	0	0	0	0	0	0
661.68	0	0	0	0	0	0	0	0	0	0	0	0	0
661.69	0	0	0	0	0	0	0	0	0	0	0	0	0
661.7	0	0	0	0	0	0	0	0	0	0	0	0	0
661.71	0	0	0	0	0	0	0	0	0	0	0	0	0
661.72	0	0	0	0	0	0	0	0	0	0	0	0	0
661.73	0	0	0	0	0	0	0	0	0	0	0	0	0
661.74	0	0	0	0	0	0	0	0	0	0	0	0	0
661.75	0	0	0	0	0	0	0	0	0	0	0	0	0
661.76	0	0	0	0	0	0	0	0	0	0	0	0	0
661.77	0	0	0	0	0	0	0	0	0	0	0	0	0
661.78	0	0	0	0	0	0	0	0	0	0	0	0	0
661.79	0	0	0	0	0	0	0	0	0	0	0	0	0
661.8	0	0	0	0	0	0	0	0	0	0	0	0	0
661.81	0	0	0	0	0	0	0	0	0	0	0	0	0
661.82	0	0	0	0	0	0	0	0	0	0	0	0	0
661.83	0	0	0	0	0	0	0	0	0	0	0	0	0
661.84	0	0	0	0	0	0	0	0	0	0	0	0	0
661.85	0	0	0	0	0	0	0	0	0	0	0	0	0
661.86	0	0	0	0	0	0	0	0	0	0	0	0	0
661.87	0	0	0	0	0	0	0	0	0	0	0	0	0
661.88	0	0	0	0	0	0	0	0	0	0	0	0	0
661.89	0	0	0	0	0	0	0	0	0	0	0	0	0
661.9	0	0	0	0	0	0	0	0	0	0	0	0	0
661.91	0	0	0	0	0	0	0	0	0	0	0	0	0
661.92	0	0	0	0	0	0	0	0	0	0	0	0	0
661.93	0	0	0	0	0	0	0	0	0	0	0	0	0
661.94	0	0	0	0	0	0	0	0	0	0	0	0	0
661.95	0	0	0	0	0	0	0	0	0	0	0	0	0
661.96	0	0	0	0	0	0	0	0	0	0	0	0	0
661.97	0	0	0	0	0	0	0	0	0	0	0	0	0
661.98	0	0	0	0	0	0	0	0	0	0	0	0	0
