time	Abdomen Tapping	Approach	Freezing	Grooming	Leg Showcase	Mounted	Pedipalp Showcase	Retreat	Vibration interaction
10804.65	0	1	0	0	0	0	0	0	0
10804.66	0	1	0	0	0	0	0	0	0
10804.67	0	1	0	0	0	0	0	0	0
10804.68	0	1	0	0	0	0	0	0	0
10804.69	0	1	0	0	0	0	0	0	0
10804.7	0	1	0	0	0	0	0	0	0
10804.71	0	1	0	0	0	0	0	0	0
10804.72	0	1	0	0	0	0	0	0	0
10804.73	0	1	0	0	0	0	0	0	0
10804.74	0	1	0	0	0	0	0	0	0
10804.75	0	1	0	0	0	0	0	0	0
10804.76	0	1	0	0	0	0	0	0	0
10804.77	0	1	0	0	0	0	0	0	0
10804.78	0	1	0	0	0	0	0	0	0
10804.79	0	1	0	0	0	0	0	0	0
10804.8	0	1	0	0	0	0	0	0	0
10804.81	0	1	0	0	0	0	0	0	0
10804.82	0	1	0	0	0	0	0	0	0
10804.83	0	1	0	0	0	0	0	0	0
10804.84	0	1	0	0	0	0	0	0	0
10804.85	0	1	0	0	0	0	0	0	0
10804.86	0	1	0	0	0	0	0	0	0
10804.87	0	1	0	0	0	0	0	0	0
10804.88	0	1	0	0	0	0	0	0	0
10804.89	0	1	0	0	0	0	0	0	0
10804.9	0	1	0	0	0	0	0	0	0
10804.91	0	1	0	0	0	0	0	0	0
10804.92	0	1	0	0	0	0	0	0	0
10804.93	0	1	0	0	0	0	0	0	0
10804.94	0	1	0	0	0	0	0	0	0
10804.95	0	1	0	0	0	0	0	0	0
10804.96	0	1	0	0	0	0	0	0	0
10804.97	0	1	0	0	0	0	0	0	0
10804.98	0	1	0	0	0	0	0	0	0
10804.99	0	1	0	0	0	0	0	0	0
10805.0	0	1	0	0	0	0	0	0	0
10805.01	0	1	0	0	0	0	0	0	0
10805.02	0	1	0	0	0	0	0	0	0
10805.03	0	1	0	0	0	0	0	0	0
10805.04	0	1	0	0	0	0	0	0	0
10805.05	0	1	0	0	0	0	0	0	0
10805.06	0	1	0	0	0	0	0	0	0
10805.07	0	1	0	0	0	0	0	0	0
10805.08	0	1	0	0	0	0	0	0	0
10805.09	0	1	0	0	0	0	0	0	0
10805.1	0	1	0	0	0	0	0	0	0
10805.11	0	1	0	0	0	0	0	0	0
10805.12	0	1	0	0	0	0	0	0	0
10805.13	0	1	0	0	0	0	0	0	0
10805.14	0	1	0	0	0	0	0	0	0
10805.15	0	1	0	0	0	0	0	0	0
10805.16	0	1	0	0	0	0	0	0	0
10805.17	0	1	0	0	0	0	0	0	0
10805.18	0	1	0	0	0	0	0	0	0
10805.19	0	1	0	0	0	0	0	0	0
10805.2	0	1	0	0	0	0	0	0	0
10805.21	0	1	0	0	0	0	0	0	0
10805.22	0	1	0	0	0	0	0	0	0
