time	Abdomen Tapping	Approach	Freezing	Grooming	Leg Showcase	Mounted	Pedipalp Showcase	Retreat	Vibration interaction
3406.7	0	1	0	0	0	0	0	0	0
3406.71	0	1	0	0	0	0	0	0	0
3406.72	0	1	0	0	0	0	0	0	0
3406.73	0	1	0	0	0	0	0	0	0
3406.74	0	1	0	0	0	0	0	0	0
3406.75	0	1	0	0	0	0	0	0	0
3406.76	0	1	0	0	0	0	0	0	0
3406.77	0	1	0	0	0	0	0	0	0
3406.78	0	1	0	0	0	0	0	0	0
3406.79	0	1	0	0	0	0	0	0	0
3406.8	0	1	0	0	0	0	0	0	0
3406.81	0	1	0	0	0	0	0	0	0
3406.82	0	1	0	0	0	0	0	0	0
3406.83	0	1	0	0	0	0	0	0	0
3406.84	0	1	0	0	0	0	0	0	0
3406.85	0	1	0	0	0	0	0	0	0
3406.86	0	1	0	0	0	0	0	0	0
3406.87	0	1	0	0	0	0	0	0	0
3406.88	0	1	0	0	0	0	0	0	0
3406.89	0	1	0	0	0	0	0	0	0
3406.9	0	1	0	0	0	0	0	0	0
3406.91	0	1	0	0	0	0	0	0	0
3406.92	0	1	0	0	0	0	0	0	0
3406.93	0	1	0	0	0	0	0	0	0
3406.94	0	1	0	0	0	0	0	0	0
3406.95	0	1	0	0	0	0	0	0	0
3406.96	0	1	0	0	0	0	0	0	0
3406.97	0	1	0	0	0	0	0	0	0
3406.98	0	1	0	0	0	0	0	0	0
3406.99	0	1	0	0	0	0	0	0	0
3407.0	0	1	0	0	0	0	0	0	0
3407.01	0	1	0	0	0	0	0	0	0
3407.02	0	1	0	0	0	0	0	0	0
3407.03	0	1	0	0	0	0	0	0	0
3407.04	0	1	0	0	0	0	0	0	0
3407.05	0	1	0	0	0	0	0	0	0
3407.06	0	1	0	0	0	0	0	0	0
3407.07	0	1	0	0	0	0	0	0	0
3407.08	0	1	0	0	0	0	0	0	0
3407.09	0	1	0	0	0	0	0	0	0
3407.1	0	1	0	0	0	0	0	0	0
3407.11	0	1	0	0	0	0	0	0	0
3407.12	0	1	0	0	0	0	0	0	0
3407.13	0	1	0	0	0	0	0	0	0
3407.14	0	1	0	0	0	0	0	0	0
3407.15	0	1	0	0	0	0	0	0	0
3407.16	0	1	0	0	0	0	0	0	0
3407.17	0	1	0	0	0	0	0	0	0
3407.18	0	1	0	0	0	0	0	0	0
3407.19	0	1	0	0	0	0	0	0	0
3407.2	0	1	0	0	0	0	0	0	0
3407.21	0	1	0	0	0	0	0	0	0
3407.22	0	1	0	0	0	0	0	0	0
3407.23	0	1	0	0	0	0	0	0	0
3407.24	0	1	0	0	0	0	0	0	0
3407.25	0	1	0	0	0	0	0	0	0
3407.26	0	1	0	0	0	0	0	0	0
3407.27	0	1	0	0	0	0	0	0	0
3407.28	0	1	0	0	0	0	0	0	0
3407.29	0	1	0	0	0	0	0	0	0
3407.3	0	1	0	0	0	0	0	0	0
3407.31	0	1	0	0	0	0	0	0	0
3407.32	0	1	0	0	0	0	0	0	0
3407.33	0	1	0	0	0	0	0	0	0
3407.34	0	1	0	0	0	0	0	0	0
3407.35	0	1	0	0	0	0	0	0	0
3407.36	0	1	0	0	0	0	0	0	0
3407.37	0	1	0	0	0	0	0	0	0
3407.38	0	1	0	0	0	0	0	0	0
3407.39	0	1	0	0	0	0	0	0	0
3407.4	0	1	0	0	0	0	0	0	0
3407.41	0	1	0	0	0	0	0	0	0
3407.42	0	1	0	0	0	0	0	0	0
3407.43	0	1	0	0	0	0	0	0	0
3407.44	0	1	0	0	0	0	0	0	0
3407.45	0	1	0	0	0	0	0	0	0
3407.46	0	1	0	0	0	0	0	0	0
3407.47	0	1	0	0	0	0	0	0	0
3407.48	0	1	0	0	0	0	0	0	0
3407.49	0	1	0	0	0	0	0	0	0
3407.5	0	1	0	0	0	0	0	0	0
3407.51	0	1	0	0	0	0	0	0	0
3407.52	0	1	0	0	0	0	0	0	0
3407.53	0	1	0	0	0	0	0	0	0
3407.54	0	1	0	0	0	0	0	0	0
3407.55	0	1	0	0	0	0	0	0	0
3407.56	0	1	0	0	0	0	0	0	0
3407.57	0	1	0	0	0	0	0	0	0
3407.58	0	1	0	0	0	0	0	0	0
3407.59	0	1	0	0	0	0	0	0	0
3407.6	0	1	0	0	0	0	0	0	0
3407.61	0	1	0	0	0	0	0	0	0
3407.62	0	1	0	0	0	0	0	0	0
3407.63	0	1	0	0	0	0	0	0	0
3407.64	0	1	0	0	0	0	0	0	0
3407.65	0	1	0	0	0	0	0	0	0
3407.66	0	1	0	0	0	0	0	0	0
3407.67	0	1	0	0	0	0	0	0	0
3407.68	0	1	0	0	0	0	0	0	0
3407.69	0	1	0	0	0	0	0	0	0
3407.7	0	1	0	0	0	0	0	0	0
3407.71	0	1	0	0	0	0	0	0	0
3407.72	0	1	0	0	0	0	0	0	0
3407.73	0	1	0	0	0	0	0	0	0
3407.74	0	1	0	0	0	0	0	0	0
3407.75	0	1	0	0	0	0	0	0	0
3407.76	0	1	0	0	0	0	0	0	0
3407.77	0	1	0	0	0	0	0	0	0
3407.78	0	1	0	0	0	0	0	0	0
3407.79	0	1	0	0	0	0	0	0	0
3407.8	0	1	0	0	0	0	0	0	0
3407.81	0	1	0	0	0	0	0	0	0
3407.82	0	1	0	0	0	0	0	0	0
3407.83	0	1	0	0	0	0	0	0	0
3407.84	0	1	0	0	0	0	0	0	0
3407.85	0	1	0	0	0	0	0	0	0
3407.86	0	1	0	0	0	0	0	0	0
3407.87	0	1	0	0	0	0	0	0	0
3407.88	0	1	0	0	0	0	0	0	0
3407.89	0	1	0	0	0	0	0	0	0
3407.9	0	1	0	0	0	0	0	0	0
3407.91	0	1	0	0	0	0	0	0	0
3407.92	0	1	0	0	0	0	0	0	0
3407.93	0	1	0	0	0	0	0	0	0
3407.94	0	1	0	0	0	0	0	0	0
3407.95	0	1	0	0	0	0	0	0	0
3407.96	0	1	0	0	0	0	0	0	0
3407.97	0	1	0	0	0	0	0	0	0
3407.98	0	1	0	0	0	0	0	0	0
3407.99	0	1	0	0	0	0	0	0	0
3408.0	0	1	0	0	0	0	0	0	0
3408.01	0	1	0	0	0	0	0	0	0
3408.02	0	1	0	0	0	0	0	0	0
3408.03	0	1	0	0	0	0	0	0	0
3408.04	0	1	0	0	0	0	0	0	0
3408.05	0	1	0	0	0	0	0	0	0
3408.06	0	1	0	0	0	0	0	0	0
3408.07	0	1	0	0	0	0	0	0	0
3408.08	0	1	0	0	0	0	0	0	0
3408.09	0	1	0	0	0	0	0	0	0
3408.1	0	1	0	0	0	0	0	0	0
3408.11	0	1	0	0	0	0	0	0	0
3408.12	0	1	0	0	0	0	0	0	0
3408.13	0	1	0	0	0	0	0	0	0
3408.14	0	1	0	0	0	0	0	0	0
3408.15	0	1	0	0	0	0	0	0	0
3408.16	0	1	0	0	0	0	0	0	0
3408.17	0	1	0	0	0	0	0	0	0
3408.18	0	1	0	0	0	0	0	0	0
3408.19	0	1	0	0	0	0	0	0	0
3408.2	0	1	0	0	0	0	0	0	0
3408.21	0	1	0	0	0	0	0	0	0
3408.22	0	1	0	0	0	0	0	0	0
