time	Abdomen Tapping	Approach	Freezing	Grooming	Leg Showcase	Mounted	Pedipalp Showcase	Retreat	Vibration interaction
4261.04	1	0	0	0	0	0	0	0	0
4261.05	0	0	0	0	0	0	0	0	0
4261.06	0	0	0	0	0	0	0	0	0
4261.07	0	0	0	0	0	0	0	0	0
4261.08	0	0	0	0	0	0	0	0	0
4261.09	0	0	0	0	0	0	0	0	0
4261.1	0	0	0	0	0	0	0	0	0
4261.11	0	0	0	0	0	0	0	0	0
4261.12	0	0	0	0	0	0	0	0	0
4261.13	0	0	0	0	0	0	0	0	0
4261.14	0	0	0	0	0	0	0	0	0
4261.15	0	0	0	0	0	0	0	0	0
4261.16	0	0	0	0	0	0	0	0	0
4261.17	0	0	0	0	0	0	0	0	0
4261.18	0	0	0	0	0	0	0	0	0
4261.19	0	0	0	0	0	0	0	0	0
4261.2	0	0	0	0	0	0	0	0	0
4261.21	0	0	0	0	0	0	0	0	0
4261.22	0	0	0	0	0	0	0	0	0
4261.23	0	0	0	0	0	0	0	0	0
4261.24	0	0	0	0	0	0	0	0	0
4261.25	0	0	0	0	0	0	0	0	0
4261.26	0	0	0	0	0	0	0	0	0
4261.27	0	0	0	0	0	0	0	0	0
4261.28	0	0	0	0	0	0	0	0	0
4261.29	0	0	0	0	0	0	0	0	0
4261.3	0	0	0	0	0	0	0	0	0
4261.31	0	0	0	0	0	0	0	0	0
4261.32	0	0	0	0	0	0	0	0	0
4261.33	0	0	0	0	0	0	0	0	0
4261.34	0	0	0	0	0	0	0	0	0
4261.35	0	0	0	0	0	0	0	0	0
4261.36	0	0	0	0	0	0	0	0	0
4261.37	0	0	0	0	0	0	0	0	0
4261.38	0	0	0	0	0	0	0	0	0
4261.39	0	1	0	0	0	0	0	0	0
4261.4	0	1	0	0	0	0	0	0	0
4261.41	0	1	0	0	0	0	0	0	0
4261.42	0	1	0	0	0	0	0	0	0
4261.43	0	1	0	0	0	0	0	0	0
4261.44	0	1	0	0	0	0	0	0	0
4261.45	0	1	0	0	0	0	0	0	0
4261.46	0	1	0	0	0	0	0	0	0
4261.47	0	1	0	0	0	0	0	0	0
4261.48	0	1	0	0	0	0	0	0	0
4261.49	0	1	0	0	0	0	0	0	0
4261.5	0	1	0	0	0	0	0	0	0
4261.51	0	1	0	0	0	0	0	0	0
4261.52	0	1	0	0	0	0	0	0	0
4261.53	0	1	0	0	0	0	0	0	0
4261.54	0	1	0	0	0	0	0	0	0
4261.55	0	1	0	0	0	0	0	0	0
4261.56	0	1	0	0	0	0	0	0	0
4261.57	0	1	0	0	0	0	0	0	0
4261.58	0	1	0	0	0	0	0	0	0
