"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.G30xJ210"
"2","Leg Showcase","Freezing","g1.G30xJ210"
"3","Freezing","Leg Showcase","g1.G30xJ210"
"4","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"5","Leg Showcase + Pedipalp Showcase","Freezing","g1.G30xJ210"
"6","Freezing","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"7","Leg Showcase + Pedipalp Showcase","Freezing","g1.G30xJ210"
"8","Freezing","Abdomen Tapping","g1.G30xJ210"
"9","Abdomen Tapping","Freezing","g1.G30xJ210"
"10","Freezing","Leg Showcase","g1.G30xJ210"
"11","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"12","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"13","Leg Showcase","Abdomen Tapping","g1.G30xJ210"
"14","Abdomen Tapping","Leg Showcase","g1.G30xJ210"
"15","Leg Showcase","Abdomen Tapping","g1.G30xJ210"
"16","Abdomen Tapping","Leg Showcase","g1.G30xJ210"
"17","Leg Showcase","Freezing","g1.G30xJ210"
"18","Freezing","Leg Showcase","g1.G30xJ210"
"19","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"20","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"21","Leg Showcase","Freezing","g1.G30xJ210"
"22","Freezing","Leg Showcase","g1.G30xJ210"
"23","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"24","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g1.G30xJ210"
"25","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"26","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g1.G30xJ210"
"27","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"28","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"29","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"30","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g1.G30xJ210"
"31","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"32","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"33","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"34","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"35","Leg Showcase","Freezing","g1.G30xJ210"
"36","Freezing","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"37","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g1.G30xJ210"
"38","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"39","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"40","Leg Showcase","Freezing","g1.G30xJ210"
"41","Freezing","Leg Showcase","g1.G30xJ210"
"42","Leg Showcase","Freezing","g1.G30xJ210"
"43","Freezing","Abdomen Tapping","g1.G30xJ210"
"44","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"45","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"46","Leg Showcase","Freezing","g1.G30xJ210"
"47","Freezing","Abdomen Tapping","g1.G30xJ210"
"48","Abdomen Tapping","Freezing","g1.G30xJ210"
"49","Freezing","Leg Showcase","g1.G30xJ210"
"50","Leg Showcase","Freezing","g1.G30xJ210"
