"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.H62xJ132"
"2","Leg Showcase","Freezing","g1.H62xJ132"
"3","Freezing","Leg Showcase","g1.H62xJ132"
"4","Leg Showcase","Freezing","g1.H62xJ132"
"5","Freezing","Leg Showcase","g1.H62xJ132"
"6","Leg Showcase","Freezing","g1.H62xJ132"
"7","Freezing","Leg Showcase","g1.H62xJ132"
"8","Leg Showcase","Freezing","g1.H62xJ132"
"9","Freezing","Leg Showcase","g1.H62xJ132"
"10","Leg Showcase","Freezing","g1.H62xJ132"
"11","Freezing","Leg Showcase","g1.H62xJ132"
"12","Leg Showcase","Freezing","g1.H62xJ132"
"13","Freezing","Abdomen Tapping","g1.H62xJ132"
"14","Abdomen Tapping","Freezing","g1.H62xJ132"
"15","Freezing","Leg Showcase","g1.H62xJ132"
"16","Leg Showcase","Freezing","g1.H62xJ132"
"17","Freezing","Leg Showcase","g1.H62xJ132"
"18","Leg Showcase","Freezing","g1.H62xJ132"
"19","Freezing","Leg Showcase","g1.H62xJ132"
"20","Leg Showcase","Freezing","g1.H62xJ132"
"21","Freezing","Leg Showcase","g1.H62xJ132"
"22","Leg Showcase","Freezing","g1.H62xJ132"
"23","Freezing","Leg Showcase","g1.H62xJ132"
"24","Leg Showcase","Freezing","g1.H62xJ132"
"25","Freezing","Leg Showcase","g1.H62xJ132"
"26","Leg Showcase","Freezing","g1.H62xJ132"
"27","Freezing","Leg Showcase","g1.H62xJ132"
"28","Leg Showcase","Freezing","g1.H62xJ132"
"29","Freezing","Leg Showcase","g1.H62xJ132"
"30","Leg Showcase","Freezing","g1.H62xJ132"
"31","Freezing","Abdomen Tapping","g1.H62xJ132"
"32","Abdomen Tapping","Freezing","g1.H62xJ132"
"33","Freezing","Leg Showcase","g1.H62xJ132"
"34","Leg Showcase","Freezing","g1.H62xJ132"
"35","Freezing","Leg Showcase","g1.H62xJ132"
"36","Leg Showcase","Freezing","g1.H62xJ132"
"37","Freezing","Leg Showcase","g1.H62xJ132"
"38","Leg Showcase","Freezing","g1.H62xJ132"
"39","Freezing","Leg Showcase","g1.H62xJ132"
"40","Leg Showcase","Freezing","g1.H62xJ132"
"41","Freezing","Leg Showcase","g1.H62xJ132"
"42","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"43","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H62xJ132"
"44","Leg Showcase","Freezing","g1.H62xJ132"
"45","Freezing","Leg Showcase","g1.H62xJ132"
"46","Leg Showcase","Freezing","g1.H62xJ132"
"47","Freezing","Leg Showcase","g1.H62xJ132"
"48","Leg Showcase","Freezing","g1.H62xJ132"
"49","Freezing","Leg Showcase","g1.H62xJ132"
"50","Leg Showcase","Freezing","g1.H62xJ132"
"51","Freezing","Abdomen Tapping","g1.H62xJ132"
"52","Abdomen Tapping","Freezing","g1.H62xJ132"
"53","Freezing","Leg Showcase","g1.H62xJ132"
"54","Leg Showcase","Freezing","g1.H62xJ132"
"55","Freezing","Leg Showcase","g1.H62xJ132"
"56","Leg Showcase","Freezing","g1.H62xJ132"
"57","Freezing","Leg Showcase","g1.H62xJ132"
"58","Leg Showcase","Freezing","g1.H62xJ132"
"59","Freezing","Leg Showcase","g1.H62xJ132"
"60","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"61","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H62xJ132"
"62","Leg Showcase","Freezing","g1.H62xJ132"
"63","Freezing","Leg Showcase","g1.H62xJ132"
"64","Leg Showcase","Freezing","g1.H62xJ132"
"65","Freezing","Abdomen Tapping","g1.H62xJ132"
"66","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"67","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"68","Leg Showcase + Pedipalp Showcase","Freezing","g1.H62xJ132"
"69","Freezing","Leg Showcase","g1.H62xJ132"
"70","Leg Showcase","Freezing","g1.H62xJ132"
"71","Freezing","Pedipalp Showcase","g1.H62xJ132"
"72","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"73","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H62xJ132"
"74","Leg Showcase","Freezing","g1.H62xJ132"
"75","Freezing","Leg Showcase","g1.H62xJ132"
"76","Leg Showcase","Freezing","g1.H62xJ132"
"77","Freezing","Leg Showcase","g1.H62xJ132"
"78","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"79","Leg Showcase + Pedipalp Showcase","Freezing","g1.H62xJ132"
"80","Freezing","Leg Showcase","g1.H62xJ132"
"81","Leg Showcase","Freezing","g1.H62xJ132"
"82","Freezing","Leg Showcase","g1.H62xJ132"
"83","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"84","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H62xJ132"
"85","Leg Showcase","Freezing","g1.H62xJ132"
"86","Freezing","Leg Showcase","g1.H62xJ132"
"87","Leg Showcase","Freezing","g1.H62xJ132"
"88","Freezing","Abdomen Tapping","g1.H62xJ132"
"89","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"90","Leg Showcase","Freezing","g1.H62xJ132"
"91","Freezing","Leg Showcase","g1.H62xJ132"
"92","Leg Showcase","Freezing","g1.H62xJ132"
"93","Freezing","Leg Showcase","g1.H62xJ132"
"94","Leg Showcase","Freezing","g1.H62xJ132"
"95","Freezing","Abdomen Tapping","g1.H62xJ132"
"96","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"97","Leg Showcase","Freezing","g1.H62xJ132"
"98","Freezing","Abdomen Tapping","g1.H62xJ132"
"99","Abdomen Tapping","Freezing","g1.H62xJ132"
"100","Freezing","Leg Showcase","g1.H62xJ132"
"101","Leg Showcase","Freezing","g1.H62xJ132"
"102","Freezing","Leg Showcase","g1.H62xJ132"
"103","Leg Showcase","Abdomen Tapping","g1.H62xJ132"
"104","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"105","Leg Showcase","Freezing","g1.H62xJ132"
"106","Freezing","Abdomen Tapping","g1.H62xJ132"
"107","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"108","Leg Showcase","Freezing","g1.H62xJ132"
"109","Freezing","Leg Showcase","g1.H62xJ132"
"110","Leg Showcase","Freezing","g1.H62xJ132"
"111","Freezing","Leg Showcase","g1.H62xJ132"
"112","Leg Showcase","Freezing","g1.H62xJ132"
"113","Freezing","Leg Showcase","g1.H62xJ132"
"114","Leg Showcase","Freezing","g1.H62xJ132"
"115","Freezing","Leg Showcase","g1.H62xJ132"
"116","Leg Showcase","Abdomen Tapping","g1.H62xJ132"
"117","Abdomen Tapping","Leg Showcase","g1.H62xJ132"
"118","Leg Showcase","Freezing","g1.H62xJ132"
"119","Freezing","Leg Showcase","g1.H62xJ132"
"120","Leg Showcase","Freezing","g1.H62xJ132"
"121","Freezing","Leg Showcase","g1.H62xJ132"
"122","Leg Showcase","Freezing","g1.H62xJ132"
"123","Freezing","Abdomen Tapping","g1.H62xJ132"
"124","Abdomen Tapping","Freezing","g1.H62xJ132"
"125","Freezing","Leg Showcase","g1.H62xJ132"
"126","Leg Showcase","Freezing","g1.H62xJ132"
"127","Freezing","Leg Showcase + Pedipalp Showcase","g1.H62xJ132"
"128","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H62xJ132"
"129","Leg Showcase","Freezing","g1.H62xJ132"
"130","Freezing","Mounting.Start","g1.H62xJ132"
"131","Mounting.Start","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"132","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"133","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"134","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"135","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"136","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.H62xJ132"
"137","Leg Showcase + Mounted","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"138","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"139","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"140","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"141","Mounted + Freezing","Leg Showcase + Mounted","g1.H62xJ132"
"142","Leg Showcase + Mounted","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"143","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"144","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"145","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"146","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
