"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J102xJ206"
"2","Leg Showcase","Freezing","g1.J102xJ206"
"3","Freezing","Leg Showcase","g1.J102xJ206"
"4","Leg Showcase","Freezing","g1.J102xJ206"
"5","Freezing","Leg Showcase","g1.J102xJ206"
"6","Leg Showcase","Freezing","g1.J102xJ206"
"7","Freezing","Leg Showcase","g1.J102xJ206"
"8","Leg Showcase","Freezing","g1.J102xJ206"
"9","Freezing","Leg Showcase","g1.J102xJ206"
"10","Leg Showcase","Freezing","g1.J102xJ206"
"11","Freezing","Abdomen Tapping","g1.J102xJ206"
"12","Abdomen Tapping","Freezing","g1.J102xJ206"
"13","Freezing","Leg Showcase","g1.J102xJ206"
"14","Leg Showcase","Freezing","g1.J102xJ206"
"15","Freezing","Abdomen Tapping","g1.J102xJ206"
"16","Abdomen Tapping","Freezing","g1.J102xJ206"
"17","Freezing","Leg Showcase","g1.J102xJ206"
"18","Leg Showcase","Freezing","g1.J102xJ206"
"19","Freezing","Leg Showcase","g1.J102xJ206"
"20","Leg Showcase","Freezing","g1.J102xJ206"
"21","Freezing","Leg Showcase","g1.J102xJ206"
"22","Leg Showcase","Freezing","g1.J102xJ206"
"23","Freezing","Leg Showcase","g1.J102xJ206"
"24","Leg Showcase","Freezing","g1.J102xJ206"
"25","Freezing","Leg Showcase","g1.J102xJ206"
"26","Leg Showcase","Freezing","g1.J102xJ206"
"27","Freezing","Leg Showcase","g1.J102xJ206"
"28","Leg Showcase","Freezing","g1.J102xJ206"
"29","Freezing","Leg Showcase","g1.J102xJ206"
"30","Leg Showcase","Freezing","g1.J102xJ206"
"31","Freezing","Abdomen Tapping","g1.J102xJ206"
"32","Abdomen Tapping","Leg Showcase","g1.J102xJ206"
"33","Leg Showcase","Freezing","g1.J102xJ206"
"34","Freezing","Abdomen Tapping","g1.J102xJ206"
"35","Abdomen Tapping","Leg Showcase","g1.J102xJ206"
"36","Leg Showcase","Freezing","g1.J102xJ206"
"37","Freezing","Leg Showcase","g1.J102xJ206"
"38","Leg Showcase","Freezing","g1.J102xJ206"
