"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J110xH67"
"2","Leg Showcase","Freezing","g1.J110xH67"
"3","Freezing","Leg Showcase","g1.J110xH67"
"4","Leg Showcase","Freezing","g1.J110xH67"
"5","Freezing","Abdomen Tapping","g1.J110xH67"
"6","Abdomen Tapping","Freezing","g1.J110xH67"
"7","Freezing","Leg Showcase","g1.J110xH67"
"8","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J110xH67"
"9","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J110xH67"
"10","Leg Showcase","Abdomen Tapping","g1.J110xH67"
"11","Abdomen Tapping","Leg Showcase","g1.J110xH67"
"12","Leg Showcase","Freezing","g1.J110xH67"
"13","Freezing","Abdomen Tapping","g1.J110xH67"
"14","Abdomen Tapping","Freezing","g1.J110xH67"
"15","Freezing","Leg Showcase","g1.J110xH67"
"16","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J110xH67"
"17","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J110xH67"
"18","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J110xH67"
"19","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J110xH67"
"20","Leg Showcase","Freezing","g1.J110xH67"
"21","Freezing","Abdomen Tapping","g1.J110xH67"
"22","Abdomen Tapping","Leg Showcase","g1.J110xH67"
"23","Leg Showcase","Freezing","g1.J110xH67"
"24","Freezing","Leg Showcase","g1.J110xH67"
"25","Leg Showcase","Abdomen Tapping","g1.J110xH67"
"26","Abdomen Tapping","Freezing","g1.J110xH67"
"27","Freezing","Pedipalp Showcase","g1.J110xH67"
"28","Pedipalp Showcase","Freezing","g1.J110xH67"
"29","Freezing","Leg Showcase","g1.J110xH67"
"30","Leg Showcase","Freezing","g1.J110xH67"
"31","Freezing","Leg Showcase","g1.J110xH67"
"32","Leg Showcase","Mounting.Start","g1.J110xH67"
"33","Mounting.Start","Leg Showcase + Mounted","g1.J110xH67"
"34","Leg Showcase + Mounted","Mounted + Freezing","g1.J110xH67"
"35","Mounted + Freezing","Leg Showcase + Mounted","g1.J110xH67"
"36","Leg Showcase + Mounted","Mounted + Freezing","g1.J110xH67"
"37","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"38","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"39","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"40","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"41","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"42","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"43","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"44","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"45","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"46","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"47","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"48","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J110xH67"
"49","Leg Showcase + Mounted","Mounted + Freezing","g1.J110xH67"
"50","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"51","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"52","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J110xH67"
"53","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J110xH67"
"54","Mounted + Freezing","Leg Showcase + Mounted","g1.J110xH67"
"55","Leg Showcase + Mounted","Mounted + Freezing","g1.J110xH67"
