"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"2","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"3","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"4","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"5","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"6","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"7","Freezing","Abdomen Tapping","g1.J189xJ112"
"8","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"9","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"10","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"11","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"12","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"13","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"14","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"15","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"16","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"17","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"18","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"19","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"20","Freezing","Abdomen Tapping","g1.J189xJ112"
"21","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"22","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"23","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"24","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"25","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"26","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"27","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"28","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"29","Freezing","Leg Showcase","g1.J189xJ112"
"30","Leg Showcase","Freezing","g1.J189xJ112"
"31","Freezing","Leg Showcase","g1.J189xJ112"
"32","Leg Showcase","Freezing","g1.J189xJ112"
"33","Freezing","Leg Showcase","g1.J189xJ112"
"34","Leg Showcase","Freezing","g1.J189xJ112"
"35","Freezing","Leg Showcase","g1.J189xJ112"
"36","Leg Showcase","Freezing","g1.J189xJ112"
"37","Freezing","Leg Showcase","g1.J189xJ112"
"38","Leg Showcase","Abdomen Tapping","g1.J189xJ112"
"39","Abdomen Tapping","Leg Showcase","g1.J189xJ112"
"40","Leg Showcase","Freezing","g1.J189xJ112"
"41","Freezing","Leg Showcase","g1.J189xJ112"
"42","Leg Showcase","Freezing","g1.J189xJ112"
"43","Freezing","Leg Showcase","g1.J189xJ112"
"44","Leg Showcase","Freezing","g1.J189xJ112"
"45","Freezing","Leg Showcase","g1.J189xJ112"
"46","Leg Showcase","Freezing","g1.J189xJ112"
"47","Freezing","Leg Showcase","g1.J189xJ112"
"48","Leg Showcase","Freezing","g1.J189xJ112"
"49","Freezing","Leg Showcase","g1.J189xJ112"
"50","Leg Showcase","Freezing","g1.J189xJ112"
"51","Freezing","Abdomen Tapping","g1.J189xJ112"
"52","Abdomen Tapping","Freezing","g1.J189xJ112"
"53","Freezing","Leg Showcase","g1.J189xJ112"
"54","Leg Showcase","Freezing","g1.J189xJ112"
"55","Freezing","Leg Showcase","g1.J189xJ112"
"56","Leg Showcase","Freezing","g1.J189xJ112"
"57","Freezing","Grooming","g1.J189xJ112"
"58","Grooming","Leg Showcase","g1.J189xJ112"
"59","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"60","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"61","Leg Showcase","Freezing","g1.J189xJ112"
"62","Freezing","Leg Showcase","g1.J189xJ112"
"63","Leg Showcase","Abdomen Tapping","g1.J189xJ112"
"64","Abdomen Tapping","Leg Showcase","g1.J189xJ112"
"65","Leg Showcase","Freezing","g1.J189xJ112"
"66","Freezing","Leg Showcase","g1.J189xJ112"
"67","Leg Showcase","Freezing","g1.J189xJ112"
"68","Freezing","Leg Showcase","g1.J189xJ112"
"69","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"70","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"71","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"72","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"73","Freezing","Abdomen Tapping","g1.J189xJ112"
"74","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"75","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"76","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"77","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"78","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"79","Leg Showcase + Pedipalp Showcase","Freezing","g1.J189xJ112"
"80","Freezing","Leg Showcase","g1.J189xJ112"
"81","Leg Showcase","Freezing","g1.J189xJ112"
"82","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"83","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"84","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"85","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"86","Leg Showcase","Abdomen Tapping","g1.J189xJ112"
"87","Abdomen Tapping","Leg Showcase","g1.J189xJ112"
"88","Leg Showcase","Freezing","g1.J189xJ112"
"89","Freezing","Leg Showcase","g1.J189xJ112"
"90","Leg Showcase","Freezing","g1.J189xJ112"
"91","Freezing","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"92","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"93","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J189xJ112"
"94","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J189xJ112"
"95","Leg Showcase","Freezing","g1.J189xJ112"
