"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g2.H62xG33"
"2","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"3","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"4","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"5","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"6","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"7","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"8","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"9","Abdomen Tapping","Freezing","g2.H62xG33"
"10","Freezing","Leg Showcase","g2.H62xG33"
"11","Leg Showcase","Freezing","g2.H62xG33"
"12","Freezing","Leg Showcase","g2.H62xG33"
"13","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"14","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"15","Leg Showcase","Freezing","g2.H62xG33"
"16","Freezing","Abdomen Tapping","g2.H62xG33"
"17","Abdomen Tapping","Freezing","g2.H62xG33"
"18","Freezing","Leg Showcase","g2.H62xG33"
"19","Leg Showcase","Freezing","g2.H62xG33"
"20","Freezing","Leg Showcase","g2.H62xG33"
"21","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.H62xG33"
"22","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.H62xG33"
"23","Leg Showcase","Freezing","g2.H62xG33"
"24","Freezing","Leg Showcase","g2.H62xG33"
"25","Leg Showcase","Freezing","g2.H62xG33"
"26","Freezing","Leg Showcase","g2.H62xG33"
"27","Leg Showcase","Freezing","g2.H62xG33"
"28","Freezing","Leg Showcase","g2.H62xG33"
"29","Leg Showcase","Freezing","g2.H62xG33"
"30","Freezing","Abdomen Tapping","g2.H62xG33"
"31","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"32","Leg Showcase","Freezing","g2.H62xG33"
"33","Freezing","Leg Showcase","g2.H62xG33"
"34","Leg Showcase","Freezing","g2.H62xG33"
"35","Freezing","Leg Showcase","g2.H62xG33"
"36","Leg Showcase","Freezing","g2.H62xG33"
"37","Freezing","Leg Showcase","g2.H62xG33"
"38","Leg Showcase","Freezing","g2.H62xG33"
"39","Freezing","Abdomen Tapping","g2.H62xG33"
"40","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"41","Leg Showcase","Freezing","g2.H62xG33"
"42","Freezing","Leg Showcase","g2.H62xG33"
"43","Leg Showcase","Freezing","g2.H62xG33"
"44","Freezing","Leg Showcase","g2.H62xG33"
"45","Leg Showcase","Freezing","g2.H62xG33"
"46","Freezing","Leg Showcase","g2.H62xG33"
"47","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"48","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"49","Leg Showcase","Freezing","g2.H62xG33"
"50","Freezing","Leg Showcase","g2.H62xG33"
"51","Leg Showcase","Freezing","g2.H62xG33"
"52","Freezing","Leg Showcase","g2.H62xG33"
"53","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"54","Abdomen Tapping","Freezing","g2.H62xG33"
"55","Freezing","Leg Showcase","g2.H62xG33"
"56","Leg Showcase","Freezing","g2.H62xG33"
"57","Freezing","Leg Showcase","g2.H62xG33"
"58","Leg Showcase","Abdomen Tapping","g2.H62xG33"
"59","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"60","Leg Showcase","Freezing","g2.H62xG33"
"61","Freezing","Abdomen Tapping","g2.H62xG33"
"62","Abdomen Tapping","Leg Showcase","g2.H62xG33"
"63","Leg Showcase","Freezing","g2.H62xG33"
"64","Freezing","Leg Showcase","g2.H62xG33"
"65","Leg Showcase","Freezing","g2.H62xG33"
"66","Freezing","Leg Showcase","g2.H62xG33"
"67","Leg Showcase","Freezing","g2.H62xG33"
"68","Freezing","Leg Showcase","g2.H62xG33"
"69","Leg Showcase","Freezing","g2.H62xG33"
"70","Freezing","Leg Showcase","g2.H62xG33"
"71","Leg Showcase","Freezing","g2.H62xG33"
"72","Freezing","Leg Showcase","g2.H62xG33"
"73","Leg Showcase","Freezing","g2.H62xG33"
"74","Freezing","Leg Showcase","g2.H62xG33"
"75","Leg Showcase","Freezing","g2.H62xG33"
"76","Freezing","Leg Showcase","g2.H62xG33"
"77","Leg Showcase","Freezing","g2.H62xG33"
"78","Freezing","Leg Showcase + Pedipalp Showcase","g2.H62xG33"
"79","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.H62xG33"
"80","Leg Showcase","Freezing","g2.H62xG33"
"81","Freezing","Mounting.Start","g2.H62xG33"
"82","Mounting.Start","Leg Showcase + Mounted","g2.H62xG33"
"83","Leg Showcase + Mounted","Mounted + Freezing","g2.H62xG33"
"84","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.H62xG33"
"85","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.H62xG33"
"86","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.H62xG33"
"87","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.H62xG33"
"88","Mounted + Freezing","Leg Showcase + Mounted","g2.H62xG33"
"89","Leg Showcase + Mounted","Mounted + Freezing","g2.H62xG33"
"90","Mounted + Freezing","Leg Showcase + Mounted","g2.H62xG33"
"91","Leg Showcase + Mounted","Mounted + Freezing","g2.H62xG33"
"92","Mounted + Freezing","Retreat","g2.H62xG33"
