"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g2.J124xG32"
"2","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"3","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"4","Freezing","Pedipalp Showcase","g2.J124xG32"
"5","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"6","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"7","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"8","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"9","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"10","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"11","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"12","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J124xG32"
"13","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"14","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"15","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"16","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"17","Freezing","Pedipalp Showcase","g2.J124xG32"
"18","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"19","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"20","Freezing","Abdomen Tapping","g2.J124xG32"
"21","Abdomen Tapping","Pedipalp Showcase","g2.J124xG32"
"22","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"23","Leg Showcase + Pedipalp Showcase","Pedipalp Showcase","g2.J124xG32"
"24","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"25","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"26","Freezing","Pedipalp Showcase","g2.J124xG32"
"27","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"28","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"29","Freezing","Pedipalp Showcase","g2.J124xG32"
"30","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"31","Leg Showcase + Pedipalp Showcase","Pedipalp Showcase","g2.J124xG32"
"32","Pedipalp Showcase","Freezing","g2.J124xG32"
"33","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"34","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"35","Freezing","Abdomen Tapping","g2.J124xG32"
