"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"2","Attempt 01 G06 x G03","G06","G03","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-17,"Only Trial",FALSE,"Na","Male does seem to make contact with epigyne using left palp, check emboli","Basic",TRUE,"F",TRUE,2,277.993,3,0,6,12,17025.181,1418.76508333333,11,12398.753,1127.15936363636,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,18953.28,FALSE,292.978,3997.57,2552.553,NA,FALSE,TRUE,FALSE,FALSE
"3","Attempt 02 G28 x J03","G28","J03","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-22,"Only Trial",FALSE,"Na","Female made kill despite trial length","Basic",TRUE,"F",TRUE,3,5529.648,0,0,3,5,8805.58,1761.116,7,5024.757,717.822428571428,TRUE,"left",0.139999999999418,NA,TRUE,"left",FALSE,TRUE,TRUE,15407.188,FALSE,NA,7310.86,5682.213,14535.914,FALSE,TRUE,FALSE,FALSE
"4","Attempt 03 H36 x J43","H36","J43","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-24,"Only Trial",TRUE,"Kill","","Basic",TRUE,"F",TRUE,4,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,975.84,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"5","Attempt 04 J193 x G11","J193","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-26,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,5,637,1,0,2,1,272.693,272.693,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14466.72,FALSE,2758.511,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"6","Attempt 05 J138 x H35","J138","H35","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-26,"Black mesh Trial",TRUE,"Female Aggression","","Basic",TRUE,"F",TRUE,6,8704.149,4,1,5,4,3404.258,851.0645,1,3.49599999999919,3.49599999999919,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14316,TRUE,6063.689,14179.334,10935.717,NA,FALSE,TRUE,FALSE,FALSE
"7","Attempt 06 J124 x G11","J124","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-30,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,7,NA,0,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.84,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"8","Attempt 07 H63 x H35","H63","H35","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-30,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,8,631.214,1,0,1,1,3427.022,3427.022,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14500.32,FALSE,4055.181,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"9","Attempt 08 G28 x G24","G28","G24","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-01,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",FALSE,9,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14496,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"10","Attempt 09 H36 x H27","H36","H27","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-01,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,10,2895.13,2,0,4,6,3856.985,642.830833333333,9,2719.904,302.211555555556,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14468.16,FALSE,4808.654,2971.038,2969.484,NA,FALSE,TRUE,FALSE,FALSE
"11","Attempt 10 G29 x J114","G29","J114","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-02,"White Mesh Trial",TRUE,"Kill","","Basic",TRUE,"F",TRUE,11,325.836,0,0,0,1,1083.803,1083.803,0,0,0,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,1452,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"12","Attempt 11 G06 x J79","G06","J79","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-02,"Black mesh Trial",FALSE,"Na","Camera 1-2 file corrupted, trial extended","Basic",TRUE,"F",TRUE,12,11074.716,0,0,6,14,14030.803,1002.20021428571,20,12869.318,643.4659,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,25314.72,FALSE,NA,11619.154,11098.806,NA,FALSE,TRUE,FALSE,FALSE
"13","Attempt 12 J187 x J133","J187","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-12,"White Mesh Trial",TRUE,"Female Aggression","Female nearly made kill","Basic",TRUE,"F",TRUE,13,31.427,5,0,8,7,2300.507,328.643857142857,8,541.801,67.725125,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,10684.8,TRUE,286.974,2776.026,2666.747,NA,FALSE,TRUE,FALSE,FALSE
