"X.1","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
81,"Set #01 Focals J191 x J68","J191","J68","Dolomedes minor","Dolomedes minor","minor x minor","2021-05-07","",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,85,2904.655,1,0,5,4,6430.003,1607.50075,14,5013.094,358.078142857143,TRUE,"left",1.5010000000002,NA,TRUE,"both",FALSE,FALSE,FALSE,14460,FALSE,9461.758,3255.685,3108.033,9460.377,FALSE,TRUE,FALSE,FALSE
88,"Set #02 Focals J190 x J42","J190","J42","Dolomedes minor","Dolomedes minor","minor x minor","2021-05-11","2",TRUE,"Kill","Based copulation duration off when male originallt stops moving. Male remains with palp inserted for a long time post mortum. This is noted with a Bookmark","Top mesh",TRUE,"T",TRUE,92,665.758,2,0,2,3,2707.959,902.653,5,1250.585,250.117,TRUE,"left",19.4249999999997,NA,TRUE,"both",FALSE,TRUE,TRUE,5024.64,TRUE,1617.996,1059.066,958.758,3539.866,FALSE,TRUE,FALSE,FALSE
92,"Set #03 Focals J189 x J112","J189","J112","Dolomedes minor","Dolomedes minor","minor x minor","2021-05-21","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,97,2729.858,1,0,2,5,6582.636,1316.5272,12,4805.296,400.441333333333,TRUE,"left",0.34900000000016,NA,TRUE,"left",FALSE,FALSE,FALSE,14428.8,FALSE,9386.559,3918.12,3811.163,9386.309,FALSE,TRUE,FALSE,FALSE
99,"Set #04 Focals J101 x J204","J101","J204","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-08","1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,104,1416.947,1,0,2,4,8963.517,2240.87925,8,8115.772,1014.4715,TRUE,"both",0.208999999998923,0.208999999999833,TRUE,"right",FALSE,TRUE,TRUE,11919.36,TRUE,6856.88,1614.535,1445.147,6856.671,FALSE,TRUE,FALSE,FALSE
105,"Set #05 Focals J102 x J206","J102","J206","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-08","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,110,402.325,1,1,4,5,11550.497,2310.0994,15,8037.581,535.838733333333,TRUE,"left",0.389999999999418,NA,TRUE,"right",FALSE,FALSE,FALSE,14452.8,FALSE,12398.848,3225.23,NA,12398.458,FALSE,TRUE,FALSE,FALSE
109,"Set #06 Focals H45 x H65","H45","H65","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-15","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,114,4266.812,0,0,0,4,8363.014,2090.7535,7,6079.096,868.442285714286,TRUE,"left",0.350000000000364,NA,TRUE,"right",FALSE,FALSE,FALSE,14425.44,FALSE,NA,5601.232,4837.252,12762.84,FALSE,TRUE,FALSE,FALSE
114,"Set #07 Focals J144 x G39","J144","G39","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-22","4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,119,2519.971,1,0,1,4,11384.765,2846.19125,3,2770.117,923.372333333333,TRUE,"left",0.251000000000204,NA,TRUE,"right",FALSE,FALSE,FALSE,14483.04,FALSE,2637.701,3464.446,3303.351,6362.211,FALSE,TRUE,FALSE,FALSE
125,"Set #08 Focals J183 x H26","J183","H26","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-29","3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,130,1388.967,0,0,2,2,8243.141,4121.5705,9,5481.91,609.101111111112,TRUE,"right",NA,0.25,FALSE,NA,FALSE,TRUE,TRUE,14465.28,FALSE,NA,3247.426,2681.128,9690.393,FALSE,TRUE,FALSE,FALSE
129,"Set #09 Focals J110 x H67","J110","H67","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-06","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,134,3025.857,0,2,0,5,6278.576,1255.7152,10,2652.229,265.2229,TRUE,"both",0.420000000000073,0.996999999999389,FALSE,NA,FALSE,FALSE,FALSE,14486.88,FALSE,NA,3618.731,3335.547,4646.97,FALSE,TRUE,FALSE,FALSE
135,"Set #10 Focals G26 x J203","G26","J203","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-07","4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,140,7854.411,2,0,1,4,5895.888,1473.972,9,3535.13,392.792222222222,TRUE,"left",0.239999999999782,NA,TRUE,"left",FALSE,FALSE,FALSE,14423.52,FALSE,12148.749,8697.403,7986.382,14090.119,FALSE,TRUE,FALSE,FALSE
143,"Set #11 Focals H30 x H71","H30","H71","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-16","2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,148,5207.286,2,0,1,3,9011.74,3003.91333333333,17,6048.389,355.787588235294,TRUE,"left",0.22899999999936,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.8,FALSE,9748.622,6618.923,5578.261,9748.372,FALSE,TRUE,FALSE,FALSE
