"X.1","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore","Female.date.last.weight","Female.last.weight","Male.date.last.weight","Male.last.weight"
136,"Set #10 Focal G26 x Non-focal H73","G26","H73","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-12","2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",94,"21/05/2021",52,138,11013.597,1,0,1,1,216.524000000001,216.524000000001,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,11227.872,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.89812,"2021-04-03",0.1411
165,"Set #14 Focal G30 x Non-focal H52","G30","H52","Dolomedes minor","Dolomedes minor","minor x minor","2021-08-04","3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","21/04/2021",105,"7/04/2021",119,167,5793.838,0,0,0,2,5029.162,2514.581,1,2889.708,2889.708,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14631.84,FALSE,NA,11688.243,10285.356,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.87279,"2021-05-01",0.1912
142,"Set #11 Focal H30 x Non-focal G38","H30","G38","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-20","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"16/04/2021",95,"7/06/2021",43,144,6169.326,0,0,4,4,8153.179,2038.29475,20,2894.211,144.71055,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14557.92,FALSE,NA,9761.024,8957.424,NA,FALSE,TRUE,TRUE,TRUE,"2021-05-01",0.73922,"2021-06-18",0.35485
108,"Set #06 Focal H45 x Non-focal H67","H45","H67","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-24","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","14/04/2021",71,"26/05/2021",29,110,681.27,17,0,2,11,8443.835,767.621363636364,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14532.48,FALSE,762.617,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.60166,"2021-06-18",0.30043
157,"Set #13 Focal H62 x Non-focal H64","H62","H64","Dolomedes minor","Dolomedes minor","minor x minor","2021-08-04","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"1/04/2021",125,"5/05/2021",91,159,155.832,1,0,1,7,11308.343,1615.47757142857,11,5354.96,486.814545454546,TRUE,"left",0.399999999999636,NA,TRUE,"left",FALSE,TRUE,TRUE,14458.08,FALSE,6663.291,3331.024,1878.424,12126.347,FALSE,TRUE,FALSE,TRUE,"2021-04-03",0.90223,"2021-04-03",0.16134
100,"Set #04 Focal J101 x Non-focal H76","J101","H76","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-21","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",61,"21/05/2021",31,101,3339.667,3,1,10,9,10410.129,1156.681,22,5942.893,270.1315,TRUE,"right",NA,0.251000000000204,TRUE,"left",FALSE,FALSE,FALSE,14474.4,FALSE,2669.944,3787.477,3428.919,13747.137,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.69194,"2021-06-18",0.21424
106,"Set #05 Focal J102 x Non-focal J161","J102","J161","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-14","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"24/04/2021",51,"30/03/2021",76,108,1439.473,3,0,6,7,12122.551,1731.793,27,4507.551,166.946333333333,TRUE,"right",NA,0.0799999999999272,TRUE,"right",FALSE,FALSE,FALSE,14478.72,FALSE,7161.198,4787.29,3978.683,10762.138,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.90959,"2021-04-03",0.27973
128,"Set #09 Focal J110 x Non-focal J133","J110","J133","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-12","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",82,"10/03/2021",124,130,1733.584,0,0,1,4,12543.001,3135.75025,8,9597.095,1199.636875,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14484,FALSE,NA,2946.908,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.61502,"2021-04-03",0.29158
149,"Set #12 Focal J124 x Non-focal G32","J124","G32","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-26","3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"24/03/2021",124,"14/06/2021",42,151,7908.947,1,0,6,6,6218.833,1036.47216666667,8,2293.134,286.64175,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14533.44,FALSE,13025.597,11695.612,8847.319,NA,FALSE,TRUE,FALSE,TRUE,"2021-04-03",0.54224,"2021-06-18",0.14331
115,"Set #07 Focal J144 x Non-focal H70","J144","H70","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-24","3",TRUE,"Kill","Incredible mid air kill from female","Top mesh",FALSE,"T",TRUE,"T","Right","15/03/2021",101,"2/06/2021",22,117,3219.329,0,0,0,2,1591.878,795.939,2,1241.645,620.8225,TRUE,"right",NA,0.359999999999673,FALSE,NA,FALSE,TRUE,FALSE,4882.56,TRUE,NA,3540.044,3387.004,4819.894,FALSE,TRUE,FALSE,TRUE,"2021-06-18",0.98733,"2021-06-18",0.18493
