"X.1","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore","Female.date.last.weight","Female.last.weight","Male.date.last.weight","Male.last.weight"
78,"Set #01 Focal J191 x Non-focal G16","J191","G16","Dolomedes minor","Dolomedes minor","minor x minor","2021-05-18","2",FALSE,"Na","Trialling high speed capture","Top mesh",TRUE,"T",TRUE,"F",NA,"3/04/2021",45,"19/04/2021",29,79,3407.768,1,0,1,1,115.601,115.601,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14554.56,FALSE,3516.579,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.62566,"2021-05-01",0.24804
91,"Set #03 Focal J189 x Non-focal H37","J189","H37","Dolomedes minor","Dolomedes minor","minor x minor","2021-05-28","1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",43,"12/03/2021",77,92,4867.904,0,0,2,3,3025.227,1008.409,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14456.64,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.64018,"2021-04-01",0.13675
106,"Set #05 Focal J102 x Non-focal J161","J102","J161","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-14","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"24/04/2021",51,"30/03/2021",76,108,1439.473,3,0,6,7,12122.551,1731.793,27,4507.551,166.946333333333,TRUE,"right",NA,0.0799999999999272,TRUE,"right",FALSE,FALSE,FALSE,14478.72,FALSE,7161.198,4787.29,3978.683,10762.138,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.90959,"2021-04-03",0.27973
89,"Set #02 Focal J190 x Non-focal J212","J190","J212","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-15","2",FALSE,"Na","copulation attempt looks like just attempt, but palp was never chacked afterwards","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",61,"21/05/2021",25,90,3081.463,0,0,2,7,10858.277,1551.18242857143,21,7607.304,362.252571428572,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14458.56,FALSE,NA,5327.886,4686.628,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.762,"2021-06-18",0.23666
100,"Set #04 Focal J101 x Non-focal H76","J101","H76","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-21","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",61,"21/05/2021",31,101,3339.667,3,1,10,9,10410.129,1156.681,22,5942.893,270.1315,TRUE,"right",NA,0.251000000000204,TRUE,"left",FALSE,FALSE,FALSE,14474.4,FALSE,2669.944,3787.477,3428.919,13747.137,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.69194,"2021-06-18",0.21424
108,"Set #06 Focal H45 x Non-focal H67","H45","H67","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-24","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","14/04/2021",71,"26/05/2021",29,110,681.27,17,0,2,11,8443.835,767.621363636364,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14532.48,FALSE,762.617,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.60166,"2021-06-18",0.30043
113,"Set #07 Focal J144 x Non-focal G38","J144","G38","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-28","1",FALSE,"Na","Extremly long potential copulation with both palps. Didn't lead to breakage, but counting as copulation","Top mesh",TRUE,"T",TRUE,"F",NA,"15/03/2021",105,"7/06/2021",21,115,447.583,0,1,0,8,5392.767,674.095875,8,2001.946,250.24325,TRUE,"both",1.11000000000058,1.61999999999989,TRUE,"right",FALSE,FALSE,FALSE,14485.92,FALSE,NA,2895.581,1948.178,5898.411,FALSE,TRUE,FALSE,TRUE,"2021-06-18",0.98733,"2021-06-18",0.35485
124,"Set #08 Focal J183 x Non-focal G35","J183","G35","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-05","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",81,"2/06/2021",33,126,1940.79,2,2,8,7,5811.339,830.191285714286,6,1177.014,196.169,TRUE,"left",0.171000000000276,NA,FALSE,NA,FALSE,FALSE,FALSE,14469.12,FALSE,4169.325,3834.61,3451.64,8128.443,FALSE,TRUE,FALSE,TRUE,"2021-06-18",0.79077,"2021-06-18",0.24541
129,"Set #09 Focal J110 x Non-focal J140","J110","J140","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-09","1",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",79,"20/01/2021",170,131,1335.054,0,1,0,5,5306.065,1061.213,4,3163.985,790.99625,FALSE,NA,NA,NA,TRUE,"left",TRUE,FALSE,TRUE,7969.92,TRUE,NA,3150.919,2469.809,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.61502,"2021-03-04",0.18353
136,"Set #10 Focal G26 x Non-focal H73","G26","H73","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-12","2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",94,"21/05/2021",52,138,11013.597,1,0,1,1,216.524000000001,216.524000000001,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,11227.872,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"2021-05-01",0.89812,"2021-04-03",0.1411
