behavior 0,behavior 1,individual ID,contest ID
x,t,532,504v532
t,a,532,504v532
a,m,532,504v532
m,r,532,504v532
r,b,532,504v532
x,a,512,523v512
a,t,512,523v512
t,a,512,523v512
a,c,512,523v512
c,m,512,523v512
m,a,512,523v512
a,c,512,523v512
c,t,512,523v512
t,r,512,523v512
r,b,512,523v512
x,t,513,516v513
t,a,513,516v513
a,m,513,516v513
m,r,513,516v513
r,b,513,516v513
x,t,502,502v515
t,l,502,502v515
l,m,502,502v515
m,l,502,502v515
l,s,502,502v515
s,r,502,502v515
r,b,502,502v515
x,t,527,508v527
t,l,527,508v527
l,m,527,508v527
m,r,527,508v527
r,b,527,508v527
x,t,505,514v505
t,a,505,514v505
a,t,505,514v505
t,r,505,514v505
r,b,505,514v505
x,t,546,541v546
t,a,546,541v546
a,m,546,541v546
m,c,546,541v546
c,r,546,541v546
r,b,546,541v546
x,t,548,549v548
t,f,548,549v548
f,a,548,549v548
a,t,548,549v548
t,r,548,549v548
r,b,548,549v548
x,t,557,553v557
t,a,557,553v557
a,m,557,553v557
m,l,557,553v557
l,s,557,553v557
s,c,557,553v557
c,r,557,553v557
r,b,557,553v557
x,t,534,561v534
t,m,534,561v534
m,a,534,561v534
a,m,534,561v534
m,r,534,561v534
r,b,534,561v534
x,t,567,567v569
t,c,567,567v569
c,r,567,567v569
r,b,567,567v569
x,t,535,535v556
t,m,535,535v556
m,f,535,535v556
f,a,535,535v556
a,s,535,535v556
s,c,535,535v556
c,t,535,535v556
t,c,535,535v556
c,l,535,535v556
l,c,535,535v556
c,r,535,535v556
r,b,535,535v556
x,t,537,537v509
t,r,537,537v509
r,b,537,537v509
x,a,571,570v571
a,f,571,570v571
f,l,571,570v571
l,s,571,570v571
s,c,571,570v571
c,r,571,570v571
r,b,571,570v571
x,a,590,581v590
a,t,590,581v590
t,r,590,581v590
r,b,590,581v590
x,o,578,578v582
o,l,578,578v582
l,o,578,578v582
o,l,578,578v582
l,c,578,578v582
c,l,578,578v582
l,s,578,578v582
s,c,578,578v582
c,l,578,578v582
l,c,578,578v582
c,t,578,578v582
t,f,578,578v582
f,r,578,578v582
r,b,578,578v582
x,a,595,593v595
a,t,595,593v595
t,m,595,593v595
m,f,595,593v595
f,r,595,593v595
r,b,595,593v595
x,a,585,587v585
a,t,585,587v585
t,r,585,587v585
r,b,585,587v585
x,t,579,579v592
t,r,579,579v592
r,b,579,579v592
x,t,591,589v591
t,a,591,589v591
a,f,591,589v591
f,l,591,589v591
l,s,591,589v591
s,c,591,589v591
c,r,591,589v591
r,b,591,589v591
x,t,605,599v605
t,a,605,599v605
a,f,605,599v605
f,m,605,599v605
m,f,605,599v605
f,t,605,599v605
t,r,605,599v605
r,b,605,599v605
x,t,602,602v613
t,c,602,602v613
c,l,602,602v613
l,s,602,602v613
s,c,602,602v613
c,l,602,602v613
l,s,602,602v613
s,c,602,602v613
c,r,602,602v613
r,b,602,602v613
x,c,607,607v612
c,t,607,607v612
t,l,607,607v612
l,t,607,607v612
t,c,607,607v612
c,r,607,607v612
r,b,607,607v612
x,t,609,608v609
t,a,609,608v609
a,m,609,608v609
m,r,609,608v609
r,b,609,608v609
x,a,586,601v586
a,t,586,601v586
t,a,586,601v586
a,m,586,601v586
m,r,586,601v586
r,b,586,601v586
x,t,575,603v575
t,a,575,603v575
a,r,575,603v575
r,b,575,603v575
x,t,600,600v611
t,c,600,600v611
c,l,600,600v611
l,t,600,600v611
t,c,600,600v611
c,l,600,600v611
l,t,600,600v611
t,c,600,600v611
c,l,600,600v611
l,c,600,600v611
c,t,600,600v611
t,r,600,600v611
r,b,600,600v611
x,t,504,504v532
t,m,504,504v532
m,b,504,504v532
x,m,523,523v512
m,l,523,523v512
l,m,523,523v512
m,l,523,523v512
l,s,523,523v512
s,c,523,523v512
c,o,523,523v512
o,b,523,523v512
x,o,516,516v513
o,t,516,516v513
t,b,516,516v513
x,a,515,502v515
a,t,515,502v515
t,a,515,502v515
a,c,515,502v515
c,m,515,502v515
m,l,515,502v515
l,s,515,502v515
s,c,515,502v515
c,b,515,502v515
x,t,508,508v527
t,f,508,508v527
f,a,508,508v527
a,m,508,508v527
m,c,508,508v527
c,b,508,508v527
x,o,514,514v505
o,a,514,514v505
a,b,514,514v505
x,t,541,541v546
t,c,541,541v546
c,l,541,541v546
l,s,541,541v546
s,c,541,541v546
c,b,541,541v546
x,t,549,549v548
t,a,549,549v548
a,m,549,549v548
m,l,549,549v548
l,b,549,549v548
x,o,553,553v557
o,b,553,553v557
x,c,561,561v534
c,b,561,561v534
x,a,569,567v569
a,t,569,567v569
t,l,569,567v569
l,b,569,567v569
x,t,556,535v556
t,a,556,535v556
a,c,556,535v556
c,f,556,535v556
f,l,556,535v556
l,s,556,535v556
s,c,556,535v556
c,b,556,535v556
x,t,509,537v509
t,a,509,537v509
a,m,509,537v509
m,c,509,537v509
c,b,509,537v509
x,t,570,570v571
t,c,570,570v571
c,l,570,570v571
l,s,570,570v571
s,c,570,570v571
c,b,570,570v571
x,c,581,581v590
c,b,581,581v590
x,a,582,578v582
a,t,582,578v582
t,f,582,578v582
f,l,582,578v582
l,s,582,578v582
s,c,582,578v582
c,t,582,578v582
t,a,582,578v582
a,f,582,578v582
f,l,582,578v582
l,s,582,578v582
s,c,582,578v582
c,l,582,578v582
l,c,582,578v582
c,f,582,578v582
f,l,582,578v582
l,s,582,578v582
s,c,582,578v582
c,b,582,578v582
x,c,593,593v595
c,l,593,593v595
l,b,593,593v595
x,t,592,579v592
t,a,592,579v592
a,b,592,579v592
x,c,589,589v591
c,t,589,589v591
t,a,589,589v591
a,f,589,589v591
f,c,589,589v591
c,l,589,589v591
l,b,589,589v591
x,t,599,599v605
t,c,599,599v605
c,t,599,599v605
t,b,599,599v605
x,t,613,602v613
t,a,613,602v613
a,m,613,602v613
m,c,613,602v613
c,f,613,602v613
f,c,613,602v613
c,h,613,602v613
h,b,613,602v613
x,c,612,607v612
c,t,612,607v612
t,f,612,607v612
f,m,612,607v612
m,c,612,607v612
c,l,612,607v612
l,s,612,607v612
s,c,612,607v612
c,b,612,607v612
x,t,608,608v609
t,b,608,608v609
x,t,601,601v586
t,b,601,601v586
x,c,603,603v575
c,t,603,603v575
t,a,603,603v575
a,m,603,603v575
m,l,603,603v575
l,b,603,603v575
x,t,611,600v611
t,a,611,600v611
a,f,611,600v611
f,l,611,600v611
l,s,611,600v611
s,c,611,600v611
c,t,611,600v611
t,a,611,600v611
a,f,611,600v611
f,l,611,600v611
l,s,611,600v611
s,c,611,600v611
c,l,611,600v611
l,s,611,600v611
s,c,611,600v611
c,l,611,600v611
l,s,611,600v611
s,c,611,600v611
c,t,611,600v611
t,b,611,600v611
x,c,587,587v585
c,b,587,587v585
x,t,566,566v565
t,m,566,566v565
m,l,566,566v565
l,c,566,566v565
c,l,566,566v565
l,c,566,566v565
c,b,566,566v565
x,t,565,566v565
t,a,565,566v565
a,m,565,566v565
m,f,565,566v565
f,s,565,566v565
s,c,565,566v565
c,r,565,566v565
r,b,565,566v565
x,t,633,633v682
t,s,633,633v682
s,t,633,633v682
t,c,633,633v682
c,p,633,633v682
p,c,633,633v682
c,s,633,633v682
s,b,633,633v682
x,t,682,633v682
t,c,682,633v682
c,m,682,633v682
m,l,682,633v682
l,c,682,633v682
c,r,682,633v682
r,b,682,633v682
x,o,6aj,6ajv6ah
o,l,6aj,6ajv6ah
l,s,6aj,6ajv6ah
s,c,6aj,6ajv6ah
c,b,6aj,6ajv6ah
x,t,6ah,6ajv6ah
t,a,6ah,6ajv6ah
a,f,6ah,6ajv6ah
f,c,6ah,6ajv6ah
c,f,6ah,6ajv6ah
f,m,6ah,6ajv6ah
m,l,6ah,6ajv6ah
l,s,6ah,6ajv6ah
s,c,6ah,6ajv6ah
c,r,6ah,6ajv6ah
r,b,6ah,6ajv6ah
x,t,659,659v681
t,d,659,659v681
d,t,659,659v681
t,m,659,659v681
m,c,659,659v681
c,l,659,659v681
l,c,659,659v681
c,s,659,659v681
s,c,659,659v681
c,b,659,659v681
x,t,681,659v681
t,a,681,659v681
a,t,681,659v681
t,a,681,659v681
a,t,681,659v681
t,m,681,659v681
m,l,681,659v681
l,c,681,659v681
c,l,681,659v681
l,s,681,659v681
s,c,681,659v681
c,r,681,659v681
r,b,681,659v681
x,t,657,657v648
t,c,657,657v648
c,l,657,657v648
l,s,657,657v648
s,c,657,657v648
c,l,657,657v648
l,c,657,657v648
c,t,657,657v648
t,l,657,657v648
l,s,657,657v648
s,c,657,657v648
c,f,657,657v648
f,r,657,657v648
r,b,657,657v648
x,t,648,657v648
t,a,648,657v648
a,f,648,657v648
f,c,648,657v648
c,l,648,657v648
l,s,648,657v648
s,c,648,657v648
c,l,648,657v648
l,s,648,657v648
s,c,648,657v648
c,d,648,657v648
d,a,648,657v648
a,d,648,657v648
d,a,648,657v648
a,t,648,657v648
t,f,648,657v648
f,l,648,657v648
l,s,648,657v648
s,c,648,657v648
c,r,648,657v648
r,t,648,657v648
t,b,648,657v648
x,t,688,654v688
t,c,688,654v688
c,l,688,654v688
l,s,688,654v688
s,c,688,654v688
c,l,688,654v688
l,s,688,654v688
s,c,688,654v688
c,t,688,654v688
t,l,688,654v688
l,s,688,654v688
s,c,688,654v688
c,r,688,654v688
r,b,688,654v688
x,t,654,654v688
t,m,654,654v688
m,c,654,654v688
c,l,654,654v688
l,s,654,654v688
s,t,654,654v688
t,c,654,654v688
c,l,654,654v688
l,s,654,654v688
s,c,654,654v688
c,b,654,654v688
x,a,568,564v568
a,t,568,564v568
t,f,568,564v568
f,l,568,564v568
l,s,568,564v568
s,c,568,564v568
c,t,568,564v568
t,a,568,564v568
a,f,568,564v568
f,c,568,564v568
c,a,568,564v568
a,f,568,564v568
f,c,568,564v568
c,a,568,564v568
a,f,568,564v568
f,l,568,564v568
l,s,568,564v568
s,c,568,564v568
c,r,568,564v568
r,b,568,564v568
x,t,564,564v568
t,f,564,564v568
f,d,564,564v568
d,t,564,564v568
t,d,564,564v568
d,b,564,564v568
x,a,699,675v699
a,t,699,675v699
t,l,699,675v699
l,c,699,675v699
c,t,699,675v699
t,r,699,675v699
r,b,699,675v699
x,d,675,675v699
d,c,675,675v699
c,b,675,675v699
