"","x","t","a","m","r","c","l","s","f","o","h","p","d","b"
"x",0,17,11,8,8,17.0499999999993,12,9,7,3,1,1,2,14
"t",0,20,13,9,10,21,14,11,8,3,1,1,3,17
"a",0,13,8,6,6,13,9,7,6,2,1,1,2,11
"m",0,9,6,4,5,9,7,5,4,2,1,1,1,8
"r",0,10,6,5,5,10,7.04999999999927,6,4,2,1,1,2,8
"c",0,21,13,9,10,22,15,11,9,3,1,1,3,18
"l",0,15,9,7,7,15,11,8,6,2,1,1,2,12
"s",0,11,7,5,6,11,8,6,5,2,1,1,2,9
"f",0,8,6,4,4,9,6,5,4,2,1,1,1,7
"o",0,3,2,2,2,3,2,2,2,1,0,0,1,3
"h",0,1,1,1,1,1,1,1,1,0,0,0,0,1
"p",0,1,1,1,1,1,1,1,1,0,0,0,0,1
"d",0,3,2,2,2,3,2,2,1,1,0,0,1,2
"b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
