"","x","t","a","m","r","c","l","s","f","o","h","p","d","b"
"x",0,44,11,1,0,8,0,0,0,5,0,0,1,0
"t",0,0,28,8,10,15,7,1,8,0,0,0,2,6
"a",0,15,0,13,1,4,0,1,12,0,0,0,1,2
"m",0,0,2,0,6,7,11,0,4,0,0,0,0,1
"r",0,1,0,0,0,0,0,0,0,0,0,0,0,35
"c",0,16,2,3,15,0,27,2,5,1,1,1,1,16
"l",0,3,0,3,0,12,0,35,0,1,0,0,0,5
"s",0,2,0,0,1,36,0,0,0,0,0,0,0,1
"f",0,1,3,3,3,6,11,1,0,0,0,0,1,0
"o",0,1,1,0,0,0,3,0,0,0,0,0,0,2
"h",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"p",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"d",0,2,2,0,0,1,0,0,0,0,0,0,0,1
"b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
