"","x","t","a","m","r","c","l","s","f","o","h","p","d","b"
"x",0,0.63,0.16,0.01,0,0.11,0,0,0,0.07,0,0,0.01,0
"t",0,0,0.33,0.09,0.12,0.18,0.08,0.01,0.09,0,0,0,0.02,0.07
"a",0,0.31,0,0.27,0.02,0.08,0,0.02,0.24,0,0,0,0.02,0.04
"m",0,0,0.06,0,0.19,0.23,0.35,0,0.13,0,0,0,0,0.03
"r",0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.97
"c",0,0.18,0.02,0.03,0.17,0,0.3,0.02,0.06,0.01,0.01,0.01,0.01,0.18
"l",0,0.05,0,0.05,0,0.2,0,0.59,0,0.02,0,0,0,0.08
"s",0,0.05,0,0,0.03,0.9,0,0,0,0,0,0,0,0.03
"f",0,0.03,0.1,0.1,0.1,0.21,0.38,0.03,0,0,0,0,0.03,0
"o",0,0.14,0.14,0,0,0,0.43,0,0,0,0,0,0,0.29
"h",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"p",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"d",0,0.33,0.33,0,0,0.17,0,0,0,0,0,0,0,0.17
"b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
